Time,Prediction
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:12,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
2026-01-12 02:51:13,0.00
